"district","candidate_placement","candidate_name","candidate_answer_status","candidate_url","party","done","candidate_photo_url"
"Reykjavík suður",2,"Pétur Fjeldsted Einarsson","cand not","/kosningar2013/frambod/fulltrui/petur-fjeldsted-einarsson/","Hægri Grænir",0,"/media/althingi2013/frambjodendur/P%C3%A9tur_Fjeldsted_Einarsson_2RVKS_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",3,"Sigurður Ingólfsson","cand ok","/kosningar2013/frambod/fulltrui/sigurdur-ingolfsson/","Hægri Grænir",1,"/media/althingi2013/frambjodendur/Sigur%C3%B0ur_Ing%C3%B3lfsson_3RVKS_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",4,"Katrín Guðjónsson","cand ok","/kosningar2013/frambod/fulltrui/katrin-gudjonsson/","Hægri Grænir",1,"/media/althingi2013/frambjodendur/Katr%C3%ADn_Gu%C3%B0j%C3%B3nsd%C3%B3ttir_4RVKS_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",5,"Kristján Árni Kristjánsson","cand not","/kosningar2013/frambod/fulltrui/kristjan-arni-kristjansson/","Hægri Grænir",0,"/media/althingi2013/frambjodendur/Kristj%C3%A1n_%C3%81rni_Kristj%C3%A1nsson_5RVKS_jpg_310x400_crop_upscale_q95.jpg"
"Norðvestur",1,"Árni Múli Jónasson","cand ok","/kosningar2013/frambod/fulltrui/Arni-Muli-Jonasson/","Björt framtíð",1,"/media/althingi2013/nopic.jpg"
"Norðvestur",2,"G. Valdimar Valdemarsson","cand ok","/kosningar2013/frambod/fulltrui/G-Valdimar-Valdemarsson/","Björt framtíð",1,"/media/althingi2013/frambjodendur/G._Valdimar_Valdemarsson_jpg_310x400_crop_upscale_q95.jpg"
"Norðvestur",3,"Solveig Thorlacius","cand ok","/kosningar2013/frambod/fulltrui/Solveig-Thorlacius/","Björt framtíð",1,"/media/althingi2013/frambjodendur/Solveig_Thorlacius_jpg_310x400_crop_upscale_q95.jpg"
"Norðvestur",4,"Magnús Þór Jónsson","cand ok","/kosningar2013/frambod/fulltrui/Magnus-THor-Jonsson/","Björt framtíð",1,"/media/althingi2013/frambjodendur/Magn%D0%B3s_%D1%88%D0%B2r_J%D0%B2nsson_jpg_310x400_crop_upscale_q95.jpg"
"Norðvestur",5,"Soffía Vagnsdóttir","cand not","/kosningar2013/frambod/fulltrui/Soffia-Vagnsdottir/","Björt framtíð",0,"/media/althingi2013/frambjodendur/Soff%D0%B1a_Vagnsd%D0%B2ttir_jpg_310x400_crop_upscale_q95.jpg"
"Norðvestur",1,"Einar Kristinn Guðfinnsson","cand not","/kosningar2013/frambod/fulltrui/Einar-Kristinn-Gudfinnsson/","Sjálfstæðisflokkurinn",0,"/media/althingi2013/frambjodendur/Einar_Gu%C3%B0finnsson_jpg_310x400_crop_upscale_q95.jpg"
